Starting power measurement at 1ms intervals...
Number of GPUs: 1
Number of GPUs: 1
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.441317 , CPU Power: 65.536003 W , Interval: 1000 us ,Call: 88 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.442317 , CPU Power: 90.202202 W , Interval: 999 us ,Call: 89 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.443317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 90 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.444317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 91 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.445317 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 92 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.446317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 93 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.443341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 9 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.447317 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 94 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.443341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 9 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.448317 , CPU Power: 57.401402 W , Interval: 999 us ,Call: 95 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.443341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 9 , 
